name,SC_r,centroid,varR,kurtosis,anisotropy
x_phase_+9.7_deg.tiff,0.293223,160.471030,11487.820925,1.521090,2.326963e-05
x_phase_+9.8_deg.tiff,0.255075,173.528284,11587.044244,1.576128,4.132632e-05
x_phase_+9.9_deg.tiff,0.288100,163.716898,11676.900179,1.526754,2.395719e-05
x_phase_-0.1_deg.tiff,0.276994,164.799020,11274.032989,1.546778,3.320213e-05
x_phase_-0.2_deg.tiff,0.281328,165.807688,11556.662494,1.521447,3.626169e-05
x_phase_-0.3_deg.tiff,0.268979,169.898945,11623.928403,1.545376,4.195854e-05
x_phase_-0.4_deg.tiff,0.339907,150.022835,11586.329320,1.488747,2.232719e-05
x_phase_-0.5_deg.tiff,0.266359,171.386712,11673.009039,1.568974,4.572854e-05
x_phase_-0.6_deg.tiff,0.301299,157.380603,11154.564910,1.516442,2.412018e-05
x_phase_-0.7_deg.tiff,0.269567,170.291626,11600.414175,1.567911,4.304308e-05
x_phase_-0.8_deg.tiff,0.321253,155.055147,11667.540144,1.500383,2.549964e-05
x_phase_-0.9_deg.tiff,0.285535,165.789959,11640.344493,1.528518,3.753523e-05
x_phase_-1.0_deg.tiff,0.282741,165.556339,11468.063239,1.553721,4.295756e-05
x_phase_-1.1_deg.tiff,0.292898,161.338270,11331.815877,1.542149,3.265346e-05
x_phase_-1.2_deg.tiff,0.276593,168.961196,11674.034097,1.563597,4.720167e-05
x_phase_-1.3_deg.tiff,0.379835,140.078423,11438.400171,1.481749,2.319971e-05
x_phase_-1.4_deg.tiff,0.272617,170.280034,11681.976022,1.581417,4.550913e-05
x_phase_-1.5_deg.tiff,0.315671,155.794054,11499.853358,1.515171,2.964925e-05
x_phase_-1.6_deg.tiff,0.274237,167.793812,11335.626743,1.588918,4.077564e-05
x_phase_-1.7_deg.tiff,0.298574,162.699859,11766.627596,1.525102,3.466316e-05
x_phase_-1.8_deg.tiff,0.293148,163.071371,11536.964334,1.532683,3.134397e-05
x_phase_-1.9_deg.tiff,0.283802,166.444889,11659.816569,1.544921,4.811874e-05
x_phase_-10.0_deg.tiff,0.286313,164.696274,12426.693664,1.395062,4.025240e-05
x_phase_-2.0_deg.tiff,0.299581,159.468937,11364.987457,1.544961,2.715062e-05
x_phase_-2.1_deg.tiff,0.275985,169.345857,11700.466912,1.569674,4.807409e-05
x_phase_-2.2_deg.tiff,0.337858,150.984207,11677.852775,1.483142,2.200057e-05
x_phase_-2.3_deg.tiff,0.270374,169.669266,11456.570493,1.591226,4.125624e-05
x_phase_-2.4_deg.tiff,0.308027,159.251011,11811.204403,1.525959,3.300381e-05
x_phase_-2.5_deg.tiff,0.271957,167.232563,11177.196932,1.591514,3.589226e-05
x_phase_-2.6_deg.tiff,0.280760,167.783807,11721.057674,1.547997,4.116695e-05
x_phase_-2.7_deg.tiff,0.304826,158.734538,11529.721413,1.530429,2.477824e-05
x_phase_-2.8_deg.tiff,0.283258,166.567252,11694.901879,1.530518,4.368711e-05
x_phase_-2.9_deg.tiff,0.304371,158.210180,11489.445680,1.526979,2.267443e-05
x_phase_-3.0_deg.tiff,0.266937,170.698528,11616.571122,1.580514,4.097346e-05
x_phase_-3.1_deg.tiff,0.292310,163.484322,11788.927182,1.529978,2.544559e-05
x_phase_-3.2_deg.tiff,0.265929,170.091150,11475.711294,1.571796,3.625355e-05
x_phase_-3.3_deg.tiff,0.287137,164.605077,11780.043803,1.531495,3.568450e-05
x_phase_-3.4_deg.tiff,0.266002,168.611990,11347.666201,1.592604,3.094274e-05
x_phase_-3.5_deg.tiff,0.268721,170.266760,11649.847258,1.530597,4.662954e-05
x_phase_-3.6_deg.tiff,0.306650,158.184740,11699.519032,1.518450,2.379322e-05
x_phase_-3.7_deg.tiff,0.256008,173.241322,11652.776006,1.568135,4.261677e-05
x_phase_-3.8_deg.tiff,0.308964,157.860514,11721.458078,1.495420,2.193766e-05
x_phase_-3.9_deg.tiff,0.250635,173.921673,11515.856182,1.588907,3.831112e-05
x_phase_-4.0_deg.tiff,0.266582,169.856391,11695.844110,1.539906,3.133300e-05
x_phase_-4.1_deg.tiff,0.254106,171.505476,11466.226543,1.569868,3.245858e-05
x_phase_-4.2_deg.tiff,0.269186,169.508978,11831.401244,1.508101,3.689242e-05
x_phase_-4.3_deg.tiff,0.258035,171.058566,11641.442161,1.575650,2.652371e-05
x_phase_-4.4_deg.tiff,0.245152,174.712209,11516.367356,1.552424,4.422502e-05
x_phase_-4.5_deg.tiff,0.280426,163.449527,11640.981688,1.526586,2.171808e-05
